model,difficult,easy,original
Code2Vec,0.4316,0.6358,0.5605
CodeBERT,0.5060,0.5978,0.5493
Devign,0.5888,0.6179,0.5862
LineVul,0.5363,0.6819,0.6130
PLBART,0.5232,0.6277,0.5767
ReGVD,0.5155,0.5896,0.5155
ReVeal,0.5076,0.6131,0.5616
VulBERTa-CNN,0.5148,0.6375,0.5900
VulBERTa-MLP,0.5770,0.6245,0.5588
